"id","date_time","credit_amount","debit_amount","credit_balance_amount","existence_status","transaction_type","is_ledger_closed","created_at","updated_at","order_header_id","pay_slip_id","payment_method_id","receipt_id","return_order_id","route_id","shop_id","shop_payment_id","updated_by_id","user_id","beat_id","unplanned_beat_id","van_id"
71444,"2022-04-18 15:07:44.220741",,11630.00,,1,INV,1,"2022-04-18 15:07:44.734905","2022-04-18 15:07:44.734923",33654,,9,,,14,5119,,,96,,,
71687,"2022-04-19 12:09:28",11630.00,,0.00,1,REC,1,"2022-04-19 12:09:30.473732","2022-04-19 12:09:30.535920",,,1,,,14,5119,75055,118,118,,,21
75927,"2022-05-09 11:39:07.581237",,14822.00,,1,INV,1,"2022-05-09 11:39:07.850222","2022-05-09 11:39:07.850242",35818,,9,,,14,5119,,,89,,,
77972,"2022-05-17 17:05:21",14822.00,,0.00,1,REC,1,"2022-05-17 17:05:22.384784","2022-05-17 17:05:22.418304",,,1,,,14,5119,81596,96,96,,,21
78425,"2022-05-19 09:26:06.674198",,14229.00,,1,INV,1,"2022-05-19 09:26:07.037330","2022-05-19 09:26:07.037347",37020,,9,,,14,5119,,,89,,,
83160,"2022-03-19 00:00:00",14229.00,,0.00,1,REC,1,"2022-06-08 14:54:14.531156","2022-06-08 14:54:14.568968",,1569,4,6412,,14,5119,82198,45,45,,,21
83427,"2022-06-09 09:30:59.695928",,61922.00,,1,INV,1,"2022-06-09 09:31:00.434361","2022-06-09 09:31:00.434380",39691,,9,,,14,5119,,,96,,,
83456,"2022-06-09 10:14:33.849285",,100214.00,,1,INV,0,"2022-06-09 10:14:34.545313","2022-06-09 10:14:34.545332",39710,,9,,,14,5119,,,96,,,
83622,"2022-06-09 14:45:07.141379",,1700.00,,1,INV,0,"2022-06-09 14:45:07.342748","2022-06-09 14:45:07.342777",39749,,9,,,14,5119,,,96,,,
102826,"2022-08-20 00:00:00",40000.00,,0.00,1,REC,1,"2022-08-22 10:01:37.782851","2022-08-22 10:01:37.815989",,,30,,,14,5119,107887,45,45,,,
112391,"2022-10-10 21:25:08",55775.00,,,1,PAY,0,"2022-10-10 21:25:14.765658","2022-10-10 21:25:14.765680",,,8,,3545,14,5119,,,144,,,48
112392,"2022-10-10 21:25:08",,55775.00,55775.00,1,REC,0,"2022-10-10 21:25:14.905099","2022-10-10 21:25:14.905121",,,11,,3545,14,5119,,,144,,,48
116523,"2022-10-28 11:56:21.599531",49535.00,,,1,PAY,0,"2022-10-28 11:56:21.810661","2022-10-28 11:56:21.810680",,,8,,3637,14,5119,,,151,,,48
116524,"2022-10-28 11:56:21.599531",,49535.00,49535.00,1,REC,0,"2022-10-28 11:56:21.868810","2022-10-28 11:56:21.868834",,,11,,3637,14,5119,,,151,,,48
